cluster,timestamp,hour,trip_count,total_fare
0.0,2024-06-12 15:00:00,15,106,14235.660000000009
0.0,2024-06-12 16:00:00,16,127,16075.91
0.0,2024-06-12 17:00:00,17,109,14060.859999999999
0.0,2024-06-12 18:00:00,18,164,18176.280000000002
0.0,2024-06-12 19:00:00,19,129,14410.900000000007
0.0,2024-06-12 20:00:00,20,131,15466.189999999999
0.0,2024-06-12 21:00:00,21,155,17139.159999999996
0.0,2024-06-12 22:00:00,22,95,10523.779999999997
0.0,2024-06-12 23:00:00,23,125,12095.07
0.0,2024-06-13 00:00:00,0,93,9335.61
0.0,2024-06-13 01:00:00,1,5,489.84000000000003
0.0,2024-06-13 02:00:00,2,6,643.98
0.0,2024-06-13 04:00:00,4,2,92.78
0.0,2024-06-13 05:00:00,5,1,45.43
0.0,2024-06-13 06:00:00,6,2,378.11
0.0,2024-06-13 07:00:00,7,48,6004.030000000001
0.0,2024-06-13 08:00:00,8,60,7298.449999999999
0.0,2024-06-13 09:00:00,9,92,11284.480000000005
0.0,2024-06-13 10:00:00,10,98,12535.230000000001
0.0,2024-06-13 11:00:00,11,116,13690.78
0.0,2024-06-13 12:00:00,12,106,13795.460000000003
0.0,2024-06-13 13:00:00,13,130,15132.040000000006
0.0,2024-06-13 14:00:00,14,101,12264.269999999993
0.0,2024-06-13 15:00:00,15,146,18466.450000000004
0.0,2024-06-13 16:00:00,16,137,17929.02
0.0,2024-06-13 17:00:00,17,123,16188.510000000002
0.0,2024-06-13 18:00:00,18,113,13514.7
0.0,2024-06-13 19:00:00,19,156,17823.269999999997
0.0,2024-06-13 20:00:00,20,164,17412.559999999994
0.0,2024-06-13 21:00:00,21,176,19737.009999999984
0.0,2024-06-13 22:00:00,22,142,14454.960000000003
0.0,2024-06-13 23:00:00,23,116,12308.19
0.0,2024-06-14 00:00:00,0,112,13880.559999999994
0.0,2024-06-14 01:00:00,1,7,551.04
0.0,2024-06-14 03:00:00,3,1,65.38
0.0,2024-06-14 04:00:00,4,2,98.03
0.0,2024-06-14 05:00:00,5,3,385.73999999999995
0.0,2024-06-14 06:00:00,6,6,427.25
0.0,2024-06-14 07:00:00,7,25,2616.5099999999998
0.0,2024-06-14 08:00:00,8,73,8736.460000000001
0.0,2024-06-14 09:00:00,9,77,9228.529999999999
0.0,2024-06-14 10:00:00,10,115,14332.89
0.0,2024-06-14 11:00:00,11,102,12348.860000000004
0.0,2024-06-14 12:00:00,12,98,12403.9
0.0,2024-06-14 13:00:00,13,109,13663.840000000004
0.0,2024-06-14 14:00:00,14,111,15327.439999999993
0.0,2024-06-14 15:00:00,15,113,15242.710000000001
0.0,2024-06-14 16:00:00,16,65,9217.42
0.0,2024-06-14 17:00:00,17,161,21894.530000000006
0.0,2024-06-14 18:00:00,18,101,12922.579999999994
0.0,2024-06-14 19:00:00,19,81,9845.2
0.0,2024-06-14 20:00:00,20,78,7970.380000000004
0.0,2024-06-14 21:00:00,21,87,9710.480000000001
0.0,2024-06-14 22:00:00,22,132,12628.860000000002
0.0,2024-06-14 23:00:00,23,169,19157.730000000003
0.0,2024-06-15 00:00:00,0,179,19158.519999999997
0.0,2024-06-15 01:00:00,1,132,13763.500000000004
0.0,2024-06-15 02:00:00,2,44,4108.4400000000005
0.0,2024-06-15 03:00:00,3,10,827.0699999999999
0.0,2024-06-15 04:00:00,4,1,77.83
0.0,2024-06-15 05:00:00,5,5,472.46000000000004
0.0,2024-06-15 06:00:00,6,4,337.52
0.0,2024-06-15 07:00:00,7,2,82.38
0.0,2024-06-15 08:00:00,8,39,3571.659999999999
0.0,2024-06-15 09:00:00,9,67,7564.480000000001
0.0,2024-06-15 10:00:00,10,86,9486.439999999999
0.0,2024-06-15 11:00:00,11,44,4351.850000000001
0.0,2024-06-15 12:00:00,12,71,8660.369999999997
0.0,2024-06-15 13:00:00,13,115,12513.22
0.0,2024-06-15 14:00:00,14,80,9725.779999999999
0.0,2024-06-15 15:00:00,15,64,6578.3099999999995
0.0,2024-06-15 16:00:00,16,82,10238.370000000003
0.0,2024-06-15 17:00:00,17,122,13991.130000000005
0.0,2024-06-15 18:00:00,18,81,8707.229999999998
0.0,2024-06-15 19:00:00,19,54,5958.459999999998
0.0,2024-06-15 20:00:00,20,73,7777.700000000001
