LocationID,hour,cx,cy,cluster_id,intensity_hour,avg_fare_hour,avg_duration_min_hour
3,15,-73.84742223236717,40.86447368477547,77,2637,23.60283185840708,17.6462389380531
250,9,-73.84864070062378,40.832101659632144,40,2637,23.901943005181348,17.943221070811745
140,0,-73.95473878380503,40.76548408788984,2,2635,30.746781326781328,18.91834561834562
102,14,-73.87573576709775,40.70354561076291,67,2635,23.301584158415842,18.034447194719473
81,10,-73.836643344083,40.8809354114894,38,2632,21.394686648501363,14.328292461398728
40,19,-73.99595619089148,40.6791990140971,3,2631,31.536735218508994,19.69408740359897
119,20,-73.92615723620786,40.83782699169886,16,2630,25.40396739130435,17.252173913043478
77,11,-73.89536411750332,40.66655893903528,59,2629,23.245449735449736,18.870723104056438
10,19,-73.79098635986955,40.67895331011524,41,2629,24.85917910447761,18.28237976782753
47,20,-73.90031590586491,40.842749176098025,31,2628,20.30119221411192,15.067761557177617
157,19,-73.90232968131362,40.7239950749335,60,2622,23.65045685279188,17.998054145516075
63,6,-73.87817261050247,40.68383976195104,55,2622,26.235561797752812,19.455805243445692
47,19,-73.90031590586491,40.842749176098025,31,2622,20.531866666666666,16.4636
231,5,-74.00787970866399,40.717772736265154,2,2620,54.55414868105515,20.819984012789767
212,18,-73.86967965711675,40.82790214858739,31,2620,18.693977900552486,14.655064456721915
56,16,-73.85884524944,40.741406774829755,50,2619,24.325076923076924,19.859188034188033
43,16,-73.96555356545913,40.78247809974788,2,2618,41.81717339667458,24.90993665874901
261,8,-74.01302277174901,40.70913894067185,2,2618,45.38330749354005,22.278811369509043
21,18,-73.98353709672224,40.601429439835144,65,2617,21.364623115577892,16.845226130653266
196,10,-73.86333855806278,40.72615563957924,63,2616,25.34612466124661,18.583468834688347
152,18,-73.95378223705632,40.81797514762944,2,2616,27.049622166246852,19.006465155331654
4,10,-73.97696825691769,40.7237521415848,2,2616,30.755182481751824,20.099067315490675
45,17,-73.99815149899052,40.71245931177954,2,2614,40.06657458563536,25.704143646408838
151,22,-73.96816833309238,40.79796199310003,2,2613,33.049046391752576,21.1321735395189
152,21,-73.95378223705632,40.81797514762944,2,2613,27.996592797783936,18.495983379501386
3,8,-73.84742223236717,40.86447368477547,77,2612,22.494415274463005,16.23377088305489
55,7,-73.98794343407192,40.576960753637756,61,2612,27.076363636363634,19.082617845117845
191,18,-73.74153176997541,40.7154545153052,47,2611,24.414046391752578,16.74016323024055
126,20,-73.88553752149437,40.812074458592114,58,2611,21.155094850948508,15.688030713640469
21,10,-73.98353709672224,40.601429439835144,65,2611,24.66462962962963,18.171649029982362
40,17,-73.99595619089148,40.6791990140971,3,2609,31.803849878934624,22.82877320419693
32,14,-73.86490099876723,40.86400220602362,31,2606,24.051333333333332,18.935155555555557
212,14,-73.86967965711675,40.82790214858739,31,2605,23.755511221945135,18.324979218620115
70,10,-73.8683955984202,40.76335220113318,66,2604,34.682099447513814,20.502255985267034
28,10,-73.80872901637515,40.7115963579451,62,2602,25.036957605985037,18.001122194513716
157,20,-73.90232968131362,40.7239950749335,60,2600,23.34400479616307,16.516067146282975
136,9,-73.90591118270508,40.8652641915249,31,2600,22.464203980099505,16.853441127694857
81,22,-73.836643344083,40.8809354114894,38,2600,21.793198924731183,14.88508064516129
43,17,-73.96555356545913,40.78247809974788,2,2599,39.349330024813895,22.70541770057899
3,14,-73.84742223236717,40.86447368477547,77,2598,20.38985795454545,15.543276515151517
70,13,-73.8683955984202,40.76335220113318,66,2598,29.00518134715026,18.712435233160623
255,5,-73.95741813122186,40.718803918129915,3,2595,45.124027777777776,21.374583333333334
200,8,-73.9069871077142,40.899529064376466,78,2591,32.47848039215686,18.7328022875817
35,5,-73.91025783136133,40.664003117925965,22,2590,25.157064676616915,17.457048092868988
134,8,-73.82871246597533,40.7080509979881,73,2589,23.198328981723236,16.476762402088774
106,17,-73.99064727363113,40.67351279686076,3,2588,27.472369791666665,20.85881076388889
212,17,-73.86967965711675,40.82790214858739,31,2588,23.099975609756097,17.338821138211383
224,17,-73.97659767323344,40.73182063601676,2,2587,33.93042553191489,21.88603723404255
81,11,-73.836643344083,40.8809354114894,38,2587,21.886976127320953,15.2420866489832
258,20,-73.85576675985416,40.688721356981304,44,2587,23.196928934010153,17.837140439932316
147,8,-73.89895638182647,40.81967597930489,16,2586,23.028377659574467,18.536524822695036
136,15,-73.90591118270508,40.8652641915249,31,2581,24.94337730870712,19.727044854881267
28,11,-73.80872901637515,40.7115963579451,62,2581,24.602364532019703,18.194458128078818
62,7,-73.94878853931496,40.66654040578562,4,2581,32.825129533678755,23.08454231433506
248,7,-73.87228927297005,40.834165316827594,31,2580,24.34795865633075,17.838156761412577
260,1,-73.9063064419788,40.7442347178015,43,2579,20.812914572864322,13.074581239530989
20,23,-73.88586748106964,40.857779675441584,31,2579,22.40218085106383,14.01502659574468
139,8,-73.7442343516672,40.67709779790902,79,2579,24.547943661971832,17.166807511737087
236,0,-73.95701169835736,40.78043643718996,2,2578,31.48586901763224,17.771788413098236
